question,type,database
What are the top 5 movies with a runtime greater than 120 minutes?,Simple Retrieval Queries,recommendations
List the first 3 directors born before 1950.,Simple Retrieval Queries,recommendations
Which 5 users have rated more than 20 movies?,Simple Retrieval Queries,recommendations
Identify the top 5 actors who have acted in more than 10 movies.,Simple Retrieval Queries,recommendations
What are the top 3 genres associated with movies released after 2000?,Simple Retrieval Queries,recommendations
List the first 3 movies with a budget over 100 million dollars.,Simple Retrieval Queries,recommendations
Which 5 directors have directed at least 5 movies with an IMDb rating above 7.0?,Simple Retrieval Queries,recommendations
Show the top 3 actors who have acted in movies that generated over 500 million in revenue.,Simple Retrieval Queries,recommendations
What are the first 5 movies that were rated by users named 'John Smith'?,Simple Retrieval Queries,recommendations
List the top 3 users who have given the highest average ratings.,Simple Retrieval Queries,recommendations
Which 5 movies have the most number of votes on IMDb?,Simple Retrieval Queries,recommendations
Identify the first 3 genres most frequently linked to movies directed by 'Steven Spielberg'.,Simple Retrieval Queries,recommendations
Show the top 5 movies with revenues exceeding 1 billion dollars.,Simple Retrieval Queries,recommendations
List the first 3 actors who have played roles in both comedy and action movies.,Simple Retrieval Queries,recommendations
Which 5 directors were born in the USA and have directed at least 3 movies?,Simple Retrieval Queries,recommendations
What are the top 3 movies with the highest IMDb ratings that were released in the 1990s?,Simple Retrieval Queries,recommendations
List the first 5 movies that involve actors born in France.,Simple Retrieval Queries,recommendations
Which 5 users have rated movies primarily in the 'Drama' genre?,Simple Retrieval Queries,recommendations
Show the top 3 highest-grossing movies of the 2000s.,Simple Retrieval Queries,recommendations
Identify the first 5 actors who have acted in movies with a budget less than 50 million dollars.,Simple Retrieval Queries,recommendations
What are the top 3 oldest movies in the database?,Simple Retrieval Queries,recommendations
List the first 5 directors who have a biography listed in the database.,Simple Retrieval Queries,recommendations
Which 5 movies have the most detailed plots (based on the length of the plot text)?,Simple Retrieval Queries,recommendations
Show the top 3 movies that have been rated by the oldest users.,Simple Retrieval Queries,recommendations
What are the first 5 genres associated with movies having the most languages available?,Simple Retrieval Queries,recommendations
List the top 3 movies that have been released on Christmas Day.,Simple Retrieval Queries,recommendations
Which 5 actors have the highest number of credited roles in the database?,Simple Retrieval Queries,recommendations
Identify the first 3 directors who have directed a movie with an IMDb rating lower than 4.0.,Simple Retrieval Queries,recommendations
Show the top 5 movies with the shortest runtime.,Simple Retrieval Queries,recommendations
List the first 5 movies that have been rated by users from more than 10 different countries.,Simple Retrieval Queries,recommendations
What are the top 3 highest-budget films directed by directors born in the UK?,Simple Retrieval Queries,recommendations
List the top 5 oldest actors in the database.,Simple Retrieval Queries,recommendations
Which 5 users have rated the most number of 'Horror' movies?,Simple Retrieval Queries,recommendations
Identify the first 3 movies with the most number of genres associated.,Simple Retrieval Queries,recommendations
Show the top 5 movies with the most languages spoken.,Simple Retrieval Queries,recommendations
What are the first 5 movies where the main actor has also directed the film?,Simple Retrieval Queries,recommendations
List the top 3 directors who have also acted in a movie they directed.,Simple Retrieval Queries,recommendations
Which 5 movies have been rated exactly 5 times by users?,Simple Retrieval Queries,recommendations
Identify the first 3 users who have rated movies released before 1980.,Simple Retrieval Queries,recommendations
Show the top 5 movies with the most IMDb votes released after 2010.,Simple Retrieval Queries,recommendations
What are the first 5 movies with a plot containing the word 'adventure'?,Simple Retrieval Queries,recommendations
List the top 3 movies with the most revenue that have a runtime under 90 minutes.,Simple Retrieval Queries,recommendations
Which 5 directors have directed movies in more than 3 different genres?,Simple Retrieval Queries,recommendations
Identify the first 3 actors who have acted in movies with at least three different directors.,Simple Retrieval Queries,recommendations
Show the top 5 highest IMDb rated movies directed by female directors.,Simple Retrieval Queries,recommendations
What are the first 5 movies to have a poster URL containing 'face'?,Simple Retrieval Queries,recommendations
List the top 3 movies with a budget under 10 million that have generated over 100 million in revenue.,Simple Retrieval Queries,recommendations
Which 5 users have the most ratings in the 'Comedy' genre?,Simple Retrieval Queries,recommendations
Identify the first 3 movies that have been rated by users younger than 25.,Simple Retrieval Queries,recommendations
Show the top 5 oldest movies that have been rated by at least 5 different users.,Simple Retrieval Queries,recommendations
What are the names of the top 5 movies with a budget over 100 million dollars?,Complex Retrieval Queries,recommendations
List the names of 3 directors who directed a movie released after 2010.,Complex Retrieval Queries,recommendations
Who are the actors in the movie titled 'Open Season'?,Complex Retrieval Queries,recommendations
"Which movies have been rated by more than 600,000 IMDb users?",Complex Retrieval Queries,recommendations
Name the top 5 highest-grossing movies directed by Harold Lloyd.,Complex Retrieval Queries,recommendations
What are the three most recent movies added to the database?,Complex Retrieval Queries,recommendations
List all genres associated with the movie 'Toy Story'.,Complex Retrieval Queries,recommendations
Who are the top 5 actors by the number of movies acted in the 'Adventure' genre?,Complex Retrieval Queries,recommendations
What are the IMDb ratings of movies directed by François Lallement?,Complex Retrieval Queries,recommendations
Which users rated the movie with an IMDb ID '0787474'?,Complex Retrieval Queries,recommendations
List the top 3 highest revenue movies released in the 2000s.,Complex Retrieval Queries,recommendations
What are the names of users who rated a movie from the 'Animation' genre?,Complex Retrieval Queries,recommendations
Find the names of all directors who were born in France.,Complex Retrieval Queries,recommendations
Which movies have a runtime longer than 180 minutes?,Complex Retrieval Queries,recommendations
